2026-06-08 19:07:50 | INFO | Epoch 2 | batch 900/1829 | loss=1.4829 | giou=0.6273 | bbox=0.0540 | ce=0.0872 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=615 | aux_mask=558 | pos=66 | targets=66 | pre_nms=615 | post_nms=456 | post_verify=456 | thr=0.280 | centerness=[-1.428, 0.248] | train_seen=1800
2026-06-08 19:10:11 | INFO | Epoch 2 | batch 950/1829 | loss=1.3182 | giou=0.5787 | bbox=0.0423 | ce=0.0593 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=530 | aux_mask=649 | pos=72 | targets=72 | pre_nms=530 | post_nms=357 | post_verify=357 | thr=0.228 | centerness=[-1.285, -0.117] | train_seen=1900
2026-06-08 19:12:32 | INFO | Epoch 2 | batch 1000/1829 | loss=1.4639 | giou=0.6220 | bbox=0.0945 | ce=0.0627 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=488 | aux_mask=614 | pos=45 | targets=45 | pre_nms=488 | post_nms=276 | post_verify=276 | thr=0.234 | centerness=[-1.548, 0.149] | train_seen=2000
2026-06-08 19:14:53 | INFO | Epoch 2 | batch 1050/1829 | loss=1.7250 | giou=0.7269 | bbox=0.1023 | ce=0.0845 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=697 | aux_mask=720 | pos=216 | targets=216 | pre_nms=680 | post_nms=378 | post_verify=378 | thr=0.224 | centerness=[-1.501, -0.051] | train_seen=2100
2026-06-08 19:17:14 | INFO | Epoch 2 | batch 1100/1829 | loss=1.2556 | giou=0.4754 | bbox=0.1359 | ce=0.0845 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=249 | aux_mask=287 | pos=39 | targets=39 | pre_nms=198 | post_nms=50 | post_verify=50 | thr=0.200 | centerness=[-2.151, -1.024] | train_seen=2200
2026-06-08 19:19:34 | INFO | Epoch 2 | batch 1150/1829 | loss=1.2659 | giou=0.5115 | bbox=0.0867 | ce=0.0781 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=636 | aux_mask=694 | pos=280 | targets=280 | pre_nms=626 | post_nms=222 | post_verify=222 | thr=0.226 | centerness=[-1.554, 0.016] | train_seen=2300
2026-06-08 19:21:55 | INFO | Epoch 2 | batch 1200/1829 | loss=1.2080 | giou=0.5065 | bbox=0.0798 | ce=0.0576 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=313 | aux_mask=396 | pos=47 | targets=47 | pre_nms=313 | post_nms=125 | post_verify=125 | thr=0.225 | centerness=[-1.646, -0.102] | train_seen=2400
2026-06-08 19:24:16 | INFO | Epoch 2 | batch 1250/1829 | loss=1.5170 | giou=0.6338 | bbox=0.0733 | ce=0.0881 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=393 | aux_mask=359 | pos=166 | targets=166 | pre_nms=393 | post_nms=257 | post_verify=257 | thr=0.223 | centerness=[-1.697, -0.172] | train_seen=2500
2026-06-08 19:26:37 | INFO | Epoch 2 | batch 1300/1829 | loss=1.0190 | giou=0.4461 | bbox=0.0577 | ce=0.0346 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=536 | aux_mask=534 | pos=31 | targets=31 | pre_nms=536 | post_nms=181 | post_verify=181 | thr=0.200 | centerness=[-1.802, -0.468] | train_seen=2600
2026-06-08 19:28:58 | INFO | Epoch 2 | batch 1350/1829 | loss=1.5077 | giou=0.6222 | bbox=0.0918 | ce=0.0857 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=373 | aux_mask=440 | pos=141 | targets=141 | pre_nms=373 | post_nms=160 | post_verify=160 | thr=0.230 | centerness=[-1.739, 0.079] | train_seen=2700
2026-06-08 19:31:20 | INFO | Epoch 2 | batch 1400/1829 | loss=1.3308 | giou=0.5232 | bbox=0.0872 | ce=0.0490 | aux_giou=0.0428 | aux_bbox=0.0022 | aux_ce=0.0057 | mask=847 | aux_mask=952 | pos=45 | targets=45 | pre_nms=847 | post_nms=433 | post_verify=433 | thr=0.222 | centerness=[-1.870, -0.055] | train_seen=2800
